text,sentiment,Label
 THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive,0
 lucky kid...i so wanna see loserville  pity im in oz....,positive,0
Sick. With a flu like thing.,negative,1
"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",negative,1
Happy Star Wars day everyone! and Enjoy the holiday (UK),positive,0
i miss you bby      wish you were going tomorrow to make me do good.,negative,1
 Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,positive,0
 SWEEEEET - San Fran is awesome!!!!  Love it there,positive,0
waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,negative,1
Happy Mothers day to all you Mums out there,positive,0
" CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",negative,1
 hemp cloth is marvelous but unfortunately no,negative,1
 We saw that in none 3D - the baddie`s the best,positive,0
4am. And Im on the beach. Pretty,positive,0
"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",negative,1
i realy wanted to go out cause its so nice but everybodys busy,negative,1
 Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,positive,0
 haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,positive,0
 have a safe trip joshy poo.......you`ll knock them dead at your speech,positive,0
" woof, I wish I was allowed to go",positive,0
"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",positive,0
"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",positive,0
So many tests todayyy  I don`t feel confident about anyy.,negative,1
graduation is done  im a little sad.. anyone want to hang out???,negative,1
 hahaa your awesomee !,positive,0
holy smokes! star trek was freaking awesomeeeee,positive,0
"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",negative,1
" Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",negative,1
not well,negative,1
 Not a prob hun,positive,0
 hey mia!  totally adore your music.  when will your cd be out?,positive,0
"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",positive,0
 =O you need to ask him something? Lmao I love him too,positive,0
 those splinters look very painful...but you were being very heroic saving mr. Pickle,negative,1
 why are you sad?,negative,1
 Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,positive,0
decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,positive,0
"missed all the awesome weather, because she was in a movie!",negative,1
"These kids are terrible! If I was in Good Evans, I`d call Childline",negative,1
"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",negative,1
" What`s sad is that I actually had to google that term. That sucks, tho.",negative,1
Hate fighting,negative,1
Car-warmed Sprite tastes like sore throat,negative,1
Candle wax is very enjoyable.,positive,0
" She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",positive,0
goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,positive,0
 me too. I hate my computer so much..,negative,1
 fine! Going to do my big walk today 20 or so miles,positive,0
I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,negative,1
Bugger. forgot I still have washing in my machine,negative,1
"_Laurie sending love, blessings & healing thoughts to you & family  peace",positive,0
My back hurts...really bad,negative,1
My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,negative,1
 Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,negative,1
  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,positive,0
Few Bevvies 2day in twn..great on a day off!!,positive,0
first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,positive,0
 good morning,positive,0
 its the best show EVER!,positive,0
URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,negative,1
or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,negative,1
 I miss my neice  can`t wait to see her bad n grown ****! Lol,negative,1
really hopes her car`s illness is not terminal...,negative,1
who watched X-men origins: wolverine? i totally loved it! haha,positive,0
 I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,positive,0
 I`m sad that I missed you guys last night!,negative,1
today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,negative,1
lost my tooth 2day whilst i was eating gum...oww,negative,1
happy 1 year! <3,positive,0
"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",positive,0
  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative,1
I`m starving!! This diet is killing me but I can`t eat after 8pm,negative,1
im soo bored...im deffo missing my music channels,negative,1
 nite nite bday girl  have fun at concert,positive,0
should be sleeping.  lost my voice a couple day ago.,negative,1
http://twitpic.com/66xlm -  hate when my PARKED car gets hit,negative,1
I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,negative,1
going to bed its late and I have headache,negative,1
happy mother`s day to all moms out there...,positive,0
im thinking that im going to have fun tonight....and maybe some changes are coming,positive,0
" Haha I know, I cant handle the fame!  and thank you!",positive,0
 yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,positive,0
 We never miss ICarly - my son has a huge crush on Miranda,positive,0
Feeling smooth like chrome,positive,0
Ew traffic,negative,1
Walking to class. I hate not having a bike....especially mine.,negative,1
"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",negative,1
"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",positive,0
happy mother`s day to all the mothers in the world.,positive,0
"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",positive,0
Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,positive,0
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",positive,0
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",positive,0
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive,0
 http://twitpic.com/4jaz5 - Cool... luv it,positive,0
  that`s why I need to be there...To represent the Blackberries,positive,0
" yeah I was thinking about that ,ahaha",positive,0
I`m not sleeping at all until  accepts my appology,negative,1
"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",negative,1
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,positive,0
"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",negative,1
"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",positive,0
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,negative,1
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,positive,0
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive,0
FTSK and Mercy Mercedes were amazing tonight.. as always,positive,0
  hope he is ok!,positive,0
can`t school just be done already? it hurts too much... seeing him every day,positive,0
"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",positive,0
" Happy b-day! Just woke up on this side of Earth, so wishes are bit late",positive,0
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",positive,0
HAPPY MOTHERS DAY.!,positive,0
" *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",positive,0
  Thanks,positive,0
Getting ready for week  Its too nice today to be stuck inside working!,positive,0
I am tres depressed,negative,1
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",negative,1
Happy Mothers Day people. i love my mom a lot still,positive,0
 I`m sorry to hear that.,negative,1
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",positive,0
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",positive,0
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative,1
Going to miss my roomie ... We will no longer be roomies starting tomorrow,negative,1
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",negative,1
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,positive,0
 what`s goin on hun?  I`m worried about you,negative,1
 Im not bannished... but I am at work till 6,negative,1
tonight in party w/ my girls (minus vita),positive,0
" I saw the play of it here, it was amazing",positive,0
 _ i am glad to break my twitter virginity with you two.,positive,0
Dinner with the fam... I have missed them,negative,1
" I know   It was worth a shot, though!",positive,0
"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",positive,0
Ship. I`m stuck.,negative,1
DUSTBIN BABY ON AT 11.30 Cannot wait  x,positive,0
" Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",negative,1
Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,negative,1
today is a busy day. exhausting!,negative,1
 Sorry to hear ur flight got cancelled  that blows!!!,negative,1
ohh my tooth is hurts ohh  im sad it very hurts,negative,1
"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",positive,0
 u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,negative,1
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,positive,0
2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,negative,1
?sucks!?..,negative,1
" doing pretty well, up and wide awake",positive,0
I Miss Daddy and Mommy,negative,1
"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",negative,1
"My frist post... Off to find a new car for my parents, exciting!",positive,0
Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,negative,1
seriously bored without anyone to talk to... but not tired enough for sleep,negative,1
 I am lost. Please help me find a good home.,negative,1
Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,negative,1
 oh nice going!,positive,0
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,positive,0
 i agree with you!,positive,0
 I only do computers. Am hopeless at everything else,negative,1
"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",positive,0
_2nd aww thanks!,positive,0
 Sorry RB is on PS3 for me,negative,1
I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,negative,1
dang last url went down  ? http://blip.fm/~7aigm,negative,1
" ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",negative,1
 Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,negative,1
this is sooo crazy i have fever..,negative,1
is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,negative,1
Please Review Sunehre Ad Placement  http://tinyurl.com/oow6mk,positive,0
aww  you loooove me,positive,0
awesome lucky you,positive,0
" haha im jewish, i love that one",positive,0
 l`m on 3 days too matt. No fun this weekend.,negative,1
 I feel your pain. Mine is the same way,negative,1
 Sadly no. It didn`t come with one...,negative,1
Cant wait to see my boy tomorrow,positive,0
 aww I miss driving down elmwood,negative,1
Omg Wango Tango was **** AWSOME! I love my baby for taking me,positive,0
"Version 2 of our live, interactive Trans-Siberian ticket planner is launched: http://tinyurl.com/c5ljwm - its very cool",positive,0
_30439 I really wish I could go!,positive,0
 I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,negative,1
  This has made my night!!  Way too funny!!,positive,0
Woo CAVS.  Happy Mother`s Day!,positive,0
 Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,positive,0
 sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,negative,1
"My sunburn is peeling,",negative,1
Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,negative,1
I hate the dentist,negative,1
" nothing aimed at you, just joining in...sorry",negative,1
I`m taking a twitter break. Cell is dying,negative,1
I wish I could get my nails done  stupid job,negative,1
 Have a good one,positive,0
" yep infact she is popular, miss india 99, talented film actress .... and lot more",positive,0
Dosen`t Want To Go To Work Tomorrow,negative,1
Daniel has won DSDS. His voice is great.,positive,0
_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,positive,0
I sure do hope it becomes 4:20 this afternoon ...,positive,0
 it means that you are now FAMOUS. Congrats!,positive,0
My phone passed away yesterday.. He jumped off the table  Searching for a new phone...,negative,1
"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",positive,0
tamlyn wishes she was as cool as my sock draw,positive,0
"Yes, I love tea. If that makes me typically English then so be it",positive,0
 a mouth for sure,positive,0
 pancakes!! with lemon and sugar thanks!,positive,0
" Si, no bueno  I guess I just don`t entertain him :/",negative,1
I`m so hunrgy right now and these heels kill me I can hardly walk in them,negative,1
both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,negative,1
" Yay, three followers! Good to know more than one person in this big wide world likes fishies.",positive,0
'my name is Tony!!!!!! ...not hey!!!!' -  poor tony,negative,1
Goodmorning,positive,0
Took a shift tomorrow.    I don`t really feel like working right now.,negative,1
" I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too .",positive,0
http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,positive,0
No waterfront anymore   faccia luna and clarendon will have to do,negative,1
loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,positive,0
Slipped up and caught the flu  feeling like poop!,negative,1
"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited  (L)",positive,0
Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,negative,1
Morning tweeple,positive,0
 Now you only have 2 hours to sleep...  - Rest if you need it.,positive,0
I don`t want to sit at home on prom night. Someone hang out with me,negative,1
Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,positive,0
 lol dammit  well then next time then,negative,1
 lol. just don`t ever forget me,positive,0
 Still jealous,negative,1
http://twitpic.com/67qv3 - Me at Forever 21  Ethan couldn`t be there,negative,1
NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(,negative,1
this week of mine was not easy!  but finally it`s over! (:,negative,1
   Wow what a beautiful picture... and by the way....I am straight....just wanted to let you know!!!     Bella,positive,0
In Arch. Drawing. Checking out MVCC`s CAD degree. Looks good to me,positive,0
 you know you want to come keep me company whilst mum`s at her friends for the night  it`s such a nice evening!,positive,0
cooking with my dad  having lots of fun in the kitchen together,positive,0
Bouncing Rush makes me feel nauseous,negative,1
Off to Woolsery this morning to (hopefully) see North Molton U16 clinch the North Devon League title. Lovely day for it,positive,0
playing singstar without my fave duetter,negative,1
"  you`re missing out, bb! i`m such a cereal nut, i think i like every kind available.",positive,0
" That`s just weird... :\  Oh, and what was it you were drawing for me?",negative,1
Just woke up :o mums singing to her new gn`r cd replacement i bought because im a good daughter,positive,0
"The birds are out,, oh man... That`s NOT cool && I didn`t sleep yet for the night!!!",negative,1
"250 miles down, only 1750 to go. Thats ok, u2 on the radio alwas helps.",positive,0
"My Street Fighter IV skills are lacking, can`t beat Seth on easy.",negative,1
 FIL 461 with cool people like me,positive,0
Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out,positive,0
my son got stung by a bug for the first time  his little finger is slightly swollen.,negative,1
Bumping dj opus in the drunk in the car.  lmao. Don`t act like u don`t know.,negative,1
Why kiss the feet of the people who kick you when you can be anything that you want to?  morning everyone! Hope you have the best day ever,positive,0
Here`s a brief preview: http://bit.ly/eHCfP   OMG James is creepy in that role! I`m scared of him,negative,1
I`m missing crab legs and attending my going away instead!,negative,1
Hicks are mean!,negative,1
"gettn ready to take a trip to Jersey my dad`s not doing so good, he needs a new heart~whoeva see`s this please say a prayer for my dad",negative,1
"Home until tomorrow. Did my running and spinning. Now time for chiropractor, laundry, shopping, and visiting family. Missing nathan",negative,1
" And most of us are going to be stuck in an office, some without windows",negative,1
 No it`s not sad. Should make you proud,negative,1
"   Sorry, we`ll try to keep it down.",negative,1
"According to , a quarter of families under six live in poverty.",negative,1
the plan to not spend money is not going well,negative,1
 congratulations ! you guys finish a month early than we do. booo,positive,0
" actually, I wish I was back in Tahoe.  I miss it there.",negative,1
 but my bday is JUNE 19.. this is wack... and ihavent seen any promotions for my bday party  someone better finagle this asap!,negative,1
workin a long day today... hopefully i can make some good tips,positive,0
 but it all went too quick and there wasn`t a chance lol,negative,1
Hates headaches! Maybe I`m not ready to rock,negative,1
 Thanks for the support,positive,0
"had a good day driving up mountains, visiting katie, eating chips & fudge and stocking up on lovely smelling soaps",positive,0
Nyappy mother`s day to your mom`s.,positive,0
 traumatizing moment of my childhood. my dogs massacred baby bunnies and my brother and i got out the bb gun...,negative,1
" 'organization ...ITIL, forget about people (and so they fail)' preaching to the converted  IT is the people http://tr.im/kWUA",negative,1
"_Libertine um, glad you enjoyed it...",positive,0
 im allergic to cats! my tonsils get swollen and they hurt  what do i dooo?!,negative,1
 He says he feels mama tucking him in at night  He`s lonely but getting by. Tomorrow will be tough!,negative,1
I miss her alot and its only been one day,negative,1
 sounds like you all had a great night . i`m glad it was successful,positive,0
 Thanks for sharing that,positive,0
 you should say mlia instead of fml  i hope you find it soon,positive,0
"Garden going well, almost all the corn and peas are up, no onions or beets up yet though.",positive,0
Ahhh i`m sqeaky clean and fresh. Even though i`m wearing dirty clothes  I love Two and a Half Men - it`s amazing!,positive,0
i am living in ignorance  :@,negative,1
 AWWWW  we`re gonna miss you!,negative,1
 WE Quite Like Worthing its a relaxing place with nice coffee shops and fresh air.. and not too many Oiks,positive,0
today was a lovely day! I had fun with  and  this evening!,positive,0
 Beto`s Pizzeria is on Banksville Rd in I believe the Beachview area... Sorry to answer like 100 years later,negative,1
"sigh, my sisters bein strange.. she came all the way from copenhagen to london, and now her phones turned off.. i wanna see her dammit",negative,1
 it was amazing,positive,0
I`m sick and sad .... missing out on Martini Lounge tonight,negative,1
Really wishes he had some spare cash to buy the new Punch Out for Wii,negative,1
"Aw, not going to Toronto anymore.",negative,1
 So sorry to hear about your mom! that really sucks,negative,1
 I feel for you  I hope it`s a smooth flight. Be safe! Mucho amor from Boston!,positive,0
Can`t sleep...so I`m watching HGTV. I`m afraid infomercials are about to take over,negative,1
I`m getting me & my family ready for Kaylee`s graduation! It`s gonna make me so sad.,negative,1
 sweet dreams,positive,0
IN PAIN. my big toe got stomped on during the hokey cokeu. it`s throbbing. anyone have any suggestions to heal it?,negative,1
 haha thanks  its for history and its on how the invention of television has influence america lol,positive,0
"Stupid jobs, idk what to do.",negative,1
Shopped til i dropped....come bac sunshine i miss u,negative,1
" Like your pics, Lucky Girl, again",positive,0
Feeling loved!  My Mom got me a Nikon Cool Pix for my birthday!!!!,positive,0
i have such a hard time talking to new people -  I am pretty sure I didn`t make a good impression.....,negative,1
_rc234 haha  yup. but still have a terrible headache and super swollen and puffy eyes! i dont think im going out today.ugh!,negative,1
And the Sun is shinning.........at last,positive,0
"We are on the slowest train ever, it stops everywhere. Missed a quick train by a few minutes",negative,1
"I don`t think I`ve ever been so tierd in my life.Ugh,goodnight.So sleeping in tomorrow",negative,1
why doesnt he want me anymore,negative,1
bad hair day,negative,1
.....headache,negative,1
sorry guys i didn`t sign in for a while  sorry every1,negative,1
_a_michael Hey! thanks for another great day! I`m going to sleep now! I`ll chat with you tomorrow!  Sweet dreams!,positive,0
" I bet its cool down in SR, huh? It`s not here. I haven`t stopped sweating since noon when dad and I were packing",negative,1
" http://twitpic.com/4v0vr - cool! you and your mother have awesome hair styles,! Wish her a happy mother`s day!",positive,0
happy mother`s day mothers.,positive,0
Stupid bipolar weather ruined my day off,negative,1
 I didn`t want to tell you but I think it`s your body odour,negative,1
 thats pretty bad quality and probably the worst pic u posted till date,negative,1
I missed your calls,negative,1
 Unfortunately for us it looks like there are NO funny people on twitter  Should we move to FB or start our own...flitter,negative,1
just came back from karaoke & eating dinner with emily. it was sooooo much fun,positive,0
 Discrimination is not a bad thing. I`ve learned to say no. My children would say I mastered that years ago,positive,0
" did you see the 15 sec clip of the New Moon trailer?? its up on ETonline.com ...check it out. its a big tease, though",negative,1
Just got back from working out. I`m feeling pretty good. work at 4:30,positive,0
" So!!! Why should that matter? I bet you would be GREAT at it! I do!!! It`s what you love, right? Why not go for it!",positive,0
DH is just about finished making his giant Trio candy bar. Thank the heavens. His work mates are in for a treat tomorrow!,positive,0
working on diffusing that irritation but this traffic sure isn`t helping  mother F! it`s always real bad the days th@ i help plan stuff,negative,1
 I submitted my resume the same day and saw no answer back. Oh well...,negative,1
I love when ryans a housewife. Makes me smile.,positive,0
Sooo.....I`m kinda o sick n tired of the bs that guys dish out  !!!!!!!!,negative,1
 boo... i was hoping for a fake alien story with a tinfoil covered beachball photo,negative,1
missed out on westcott micro apollo too,negative,1
 .. .great.. you can buy me lunch when i get my 10-15% pay cut next month..,positive,0
"finally gone to the beach, yeaaaah!",positive,0
_ranjan Did I ever mention what a nice and awesome dude you are?,positive,0
 Hello Gorgeous GIRL! Nice new pic!  HOw are you today,positive,0
Ok that **** duet was hysterical LOL,positive,0
" either way, you always tend to make my #followfriday list, sweetie - you do rock that much",positive,0
"watched 100th episode of numb3rs. loved how they did a throwback to the first episode, using the sprinkler theory",positive,0
I`m sleepy but is feeling under the weather! ugh! These **** tonsils. I need some company or somebody to talk too!,negative,1
"_Ichigo She tried to carry on aswell, bless, I suppose maybe that`s why kids shouldn`t be in it?",positive,0
"booziest weekend in a long time, good fun though!",positive,0
Counting the hours of lost sunshine until the Weekend,negative,1
"planning! and trying to call the doctor, though that isn`t going so well. So mostly, planning",negative,1
 Ok then have a good day,positive,0
im back to this z-index problem...again,negative,1
is anyone out there??  so bored at work...,negative,1
Am hating my life at the moment. There`s only so many NOs my delicate little mind can take,negative,1
first day of summer sucks!!!! its overcast and cold...  this isn`t summer!?!?!?!?,negative,1
says Happy Mother`s Day to all Moms out there  http://plurk.com/p/stkr2,positive,0
sorry to tweet about BGT but poor wonderful crazy weird Greg  so not fair. the silly little girl is never going to cope. urgh. NOT FAIR.,negative,1
_michele thanks for that...am now following them...love good causes,positive,0
 Not available in my area  I would too,negative,1
Waiting for 5:00 & having cramps,negative,1
philosophy final today! thank you  it`s 3 days now!!!!,positive,0
1st presentation for senior boards? FML,negative,1
" lol i know but it was just so funny, ahaha",positive,0
Wide awake and grouchy as ****.,negative,1
"just when i thought things couldn`t get any worse. it just did. and it will get even worse tonight, i bet.  my life is a misery.",negative,1
" lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it",positive,0
_kap But I think it`s cute.  Do this every night okay?,positive,0
Is happy...Skool just let out..! Today was my last day..! Yippee! R.I.P Jackson Tyler Morris..! Always Loved And Never Forgotten..!,positive,0
 wheres the music mannnn!!?? my inbox is still empty,negative,1
What am I doing atm? http://twitpic.com/4jmeh Oh yeah. Apple Juice  I`m such a rebel!,negative,1
" ...i`m sorry about you are still sick  u know most of them, AND i know that u will guess the 'pelzer present' ;-)",negative,1
 nice one !,positive,0
Gotta get creative with these mothers day gifts. I`m gonna win them over with my love!!,positive,0
" aah. well, have a few friends over there. Just wondering if all`s great and weather`s been good...",positive,0
I lost my artistic abilities,negative,1
  That was stone cold   Crazy....  ?,negative,1
_xo they were so pretty and took like an hour to do  CAN I DO URSSSSS!,positive,0
Crisis: forgot my fringe comb  I`m with men....no one will help me,negative,1
 Already got my ticket; thanks for making sure though!,positive,0
Thanks to all my new followers!,positive,0
"_Kill_Boy oh sorry! not getting all my replies  nothing against you. and yes, i do know nirvana",negative,1
"busy working on a new kit... and a couple interviews done...Yea! The weekend! Pray for my Uncle, still young and had a massive stroke!!",positive,0
_ nooo  no roo crying. but omg i wanted to slap her. she was singing fine then from out of nowhere- BOOHOOOOOOOOOOO,negative,1
Good Morning! - Court - Crossfit - Bible Study - Someone very special`s house  http://tinyurl.com/cjs668,positive,0
 Have a great time in London,positive,0
In the emergency room with my cousin. She`s got mad flu and can`t walk or breathe.  Why are hospitals always so cold?,negative,1
  Thanks for the greeting,positive,0
 http://twitpic.com/4wb52 - Such a pretty baby!,positive,0
jungle book 2 is sooooo cute.. i have nothing to eat or drink,positive,0
" ah, ok  thank youuuuuu!",positive,0
"Twitter, you just fail at life sometimes.  Oh well. http://tinyurl.com/qkxh7q",negative,1
no phone call yet.. 20 minutes until I pluck up the courage. I WISH MY PHONE WOULD RING,positive,0
 SherriEShepherd gave the link for  http://www.brentozar.com/twitter. He gives Twitter tips. Hope this helps,positive,0
 I loved him and he was in a mini,positive,0
